### with data_file: scan_3d/new_energies/mirrored_energies.out
### with codedir (dir where code was executed): C:\Users\Christian Schneider\LRZ Sync+Share\Promotion\Forschungspraktika\David Bodesheim\RetroFit
### with len(delta_list) = 100, deltamin = 90.0, deltamax = 270.0
### alpha 	| R_NN 	| E_min 	| R_CuN 	| theta 	| delta 
-120.0	6.481640396318734	3.8087510068245716	2.6941501200652653	270.0	193.63636363636363
-120.0	6.670127685976618	4.096789776149675	2.6469897866725685	270.0	195.45454545454544
-120.0	6.8586149756345	4.751990713092022	2.5897196333120776	270.0	197.27272727272725
-120.0	7.047102265292382	5.120919190921135	3.014523159239343	270.0	200.9090909090909
-120.0	7.235589554950264	5.500266092491361	3.017993661859891	270.0	202.72727272727272
-120.0	7.4240768446081455	5.893449231179353	3.0278093605781664	270.0	204.54545454545456
-120.0	7.612564134266029	6.472209198176088	3.0519705170405835	270.0	206.36363636363637
-120.0	7.801051423923911	7.093181397988326	3.1304997548640685	270.0	208.1818181818182
-120.0	7.989538713581793	--	--	--	--
-120.0	8.178026003239676	10.244339602502183	2.810236652357746	270.0	211.8181818181818
-120.0	8.366513292897558	10.874714136082364	2.8917583057293306	270.0	213.63636363636363
-120.0	8.55500058255544	10.69716052119487	4.377690511421811	270.0	213.63636363636363
-120.0	8.743487872213322	10.082690064324598	3.912364992056206	270.0	215.45454545454544
-120.0	8.931975161871204	9.965373174373866	3.6821909029833706	270.0	217.27272727272725
-120.0	9.12046245152909	10.280005688510583	3.5466852828253725	270.0	219.0909090909091
-120.0	9.308949741186971	10.748433480543017	4.143158777558527	270.0	219.0909090909091
-120.0	9.497437030844853	10.744018631838903	3.957007088398747	270.0	220.9090909090909
-120.0	9.685924320502735	10.972171676469387	3.8269262462737603	270.0	222.72727272727272
-120.0	9.874411610160617	11.143252310106348	4.254702638246149	270.0	222.72727272727272
-120.0	10.0628988998185	11.232189871057813	4.107536204004937	270.0	224.54545454545453
-120.0	10.251386189476381	11.398462374350725	4.482787647931465	270.0	224.54545454545453
-120.0	10.439873479134263	11.464918302044216	4.3306558292226285	270.0	226.36363636363635
-120.0	10.628360768792149	11.570378361926146	4.665170398236344	270.0	226.36363636363635
-120.0	10.81684805845003	11.628311068223946	4.5141764405156035	270.0	228.1818181818182
-120.0	11.005335348107913	11.686652036884539	4.816207027711077	270.0	228.1818181818182
-120.0	11.193822637765795	11.74277580136773	4.66949491148008	270.0	230.0
-120.0	11.382309927423677	11.767907299430595	4.945044894918345	270.0	230.0
-120.0	11.570797217081559	11.819091901450735	4.804221091873326	270.0	231.8181818181818
-120.0	11.75928450673944	11.90699845250742	4.68857342447934	270.0	233.63636363636363
-120.0	11.947771796397323	11.870527546926713	4.923635702121429	270.0	233.63636363636363
-120.0	12.136259086055208	11.941090463514499	4.812247620554639	270.0	235.45454545454544
-120.0	12.32474637571309	12.042589232324747	4.719332219585025	270.0	237.27272727272728
-120.0	12.513233665370972	11.951462600514205	4.925002647550792	270.0	237.27272727272728
-120.0	12.701720955028854	12.02585223386112	4.835512669975247	270.0	239.0909090909091
-120.0	12.890208244686736	12.124762642288228	4.760291502909044	270.0	240.9090909090909
-120.0	13.078695534344618	11.992340098926205	4.9437600502404155	270.0	240.9090909090909
-120.0	13.2671828240025	12.049372990255716	4.871517885749641	270.0	242.72727272727272
-120.0	13.455670113660382	12.120874339760638	4.810753203810537	270.0	244.54545454545453
-120.0	13.644157403318268	11.961420818165497	4.976950197875612	270.0	244.54545454545453
-120.0	13.83264469297615	11.988958565357104	4.918929573328919	270.0	246.36363636363635
-120.0	14.021131982634031	12.018458347052277	4.870455753987159	270.0	248.1818181818182
-120.0	14.209619272291913	12.056788732583493	4.830459687392102	270.0	250.0
-120.0	14.398106561949795	11.814718057387193	4.977076771182656	270.0	250.0
-120.0	14.586593851607677	11.78631799996128	4.939412185110079	270.0	251.8181818181818
-120.0	14.77508114126556	11.771848367209142	4.909134337178135	270.0	253.63636363636363
-120.0	14.963568430923441	11.789937009932997	4.8855937866380446	270.0	255.45454545454544
-120.0	15.152055720581323	11.898888353214709	4.868252415789079	270.0	257.27272727272725
-120.0	15.340543010239209	11.372034934100618	4.996546328881528	270.0	257.27272727272725
-120.0	15.52903029989709	11.3748759622485	4.9813658885156755	270.0	259.0909090909091
-120.0	15.717517589554973	11.545166807831338	4.971882205633431	270.0	260.9090909090909
-120.0	15.906004879212855	11.875749079857673	4.967758239034661	270.0	262.72727272727275
-120.0	16.094492168870737	12.167599196503751	4.968715408609641	270.0	264.5454545454545
-120.0	16.28297945852862	13.135558565797648	4.974525207955251	270.0	266.3636363636364
-120.0	16.4714667481865	14.188845386014458	4.98500247820631	270.0	268.1818181818182
-120.0	16.659954037844383	14.997763789804488	4.999999999999999	270.0	270.0
-116.36363636363636	-2.0002876382859744	--	--	--	--
-116.36363636363636	-1.811800348628092	8.674492021775384	4.981429278261615	268.1818181818182	130.0
-116.36363636363636	-1.6233130589702096	8.76600578215324	4.885731773301199	268.1818181818182	130.0
-116.36363636363636	-1.4348257693123272	8.871961385440345	4.790034268340784	268.1818181818182	130.0
-116.36363636363636	-1.2463384796544448	8.996680786992613	4.757114846659344	268.1818181818182	133.63636363636363
-116.36363636363636	-1.0578511899965624	9.054069222055071	4.698669335822203	268.1818181818182	135.45454545454544
